,WagThrust_s,WagCThrust_stuv,WagThrust_t,WagThrust_u,WagThrust_v
0,0.0,0.00880496,0.0,0.0,0.0
1,1.0,-0.204554,0.0,0.0,0.0
2,0.0,0.166351,1.0,0.0,0.0
3,0.0,0.158114,2.0,0.0,0.0
4,2.0,-0.147581,0.0,1.0,0.0
5,1.0,-0.481497,1.0,1.0,0.0
6,0.0,0.415437,2.0,1.0,0.0
7,0.0,0.0144043,0.0,0.0,1.0
8,2.0,-0.0530054,0.0,0.0,1.0
9,0.0,0.0143481,1.0,0.0,1.0
10,1.0,0.0606826,1.0,0.0,1.0
11,0.0,-0.0125894,0.0,1.0,1.0
12,1.0,0.0109689,0.0,1.0,1.0
13,0.0,-0.133698,3.0,0.0,0.0
14,0.0,0.00638407,6.0,0.0,0.0
15,2.0,-0.00132718,6.0,0.0,0.0
16,3.0,0.168496,0.0,1.0,0.0
17,0.0,-0.0507214,0.0,2.0,0.0
18,2.0,0.0854559,0.0,2.0,0.0
19,3.0,-0.0504475,0.0,2.0,0.0
20,1.0,0.010465,6.0,2.0,0.0
21,2.0,-0.00648272,6.0,2.0,0.0
22,0.0,-0.00841728,3.0,0.0,1.0
23,1.0,0.0168424,3.0,0.0,1.0
24,3.0,-0.00102296,3.0,0.0,1.0
25,0.0,-0.0317791,3.0,1.0,1.0
26,1.0,0.018604,0.0,2.0,1.0
27,0.0,-0.00410798,2.0,2.0,1.0
28,0.0,-0.000606848,0.0,0.0,2.0
29,1.0,-0.0049819,0.0,0.0,2.0
30,2.0,0.0025983,0.0,0.0,2.0
31,3.0,-0.000560528,0.0,0.0,2.0
32,1.0,-0.00163652,2.0,0.0,2.0
33,1.0,-0.000328787,6.0,0.0,2.0
34,2.0,0.000116502,6.0,0.0,2.0
35,0.0,0.000690904,0.0,1.0,2.0
36,0.0,0.00421749,3.0,1.0,2.0
37,3.0,5.65229e-05,6.0,1.0,2.0
38,0.0,-0.00146564,3.0,2.0,2.0
