Axy 5-75,Cxy 5-75,Bxy 5-75
0.033,0.00721,-0.000813
-0.153463,0,0.034885
0,-0.01467,0
-0.398491,0,-0.276187
0,-0.006398,0
0,0,0
0,0,0
0,0,0
-0.435515,0,-0.626198
0,-0.03138,0.450379
0,0,0
0,0,0
0,0,0
0,0,0
0.664045,0,0.359718
0,0,0
0.283225,0.010386,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.162764,0.053169,-0.087289
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.014731,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.017208,0,0
0,0,-0.003751
0,0,0
0,0,0
0,0,0
0,0,0
